LAKE_HISTORY_ID,LOCATION_HISTORY_ID,MUNICIPALITY,DEC_REGION,DEC_REGION,LOCATION_PWL_ID,LOCATION_NAME,LOCATION_TYPE,LOCATION_X_COORDINATE,LOCATION_Y_COORDINATE,LOCATION_HORIZONTAL_METHOD,LOCATION_HORIZONTAL_DATUM,LOCATION_WATERBODY_CLASSIFICATION,MAJOR_BASIN_ID,US_L3CODE,US_L3NAME,NA_L3CODE,NA_L3NAME,NA_L2CODE,NA_L2NAME,NA_L1CODE,NA_L1NAME,STATE_NAME,EPA_REGION,L3_KEY,L2_KEY,L1_KEY
0104LIM0130,0104LIM0130_C,Machias,9,Cattaraugus,0104-0001,LIME LAKE CENTROID,CENTROID,-78.479202,42.427399,INTERPOLATION-OTHER,NAD83,B,1,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,2,60  Northern Allegheny Plateau,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS
0104RAI5630,0104RAI5630_C,East Otto,9,Cattaraugus,0104-0060,RAINBOW LAKE CENTROID,CENTROID,-78.698196,42.352001,INTERPOLATION-OTHER,NAD83,C(T),1,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,2,60  Northern Allegheny Plateau,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS
0104SKI0141,0104SKI0141_C,Freedom,9,Cattaraugus,0104-0068,SKIM LAKE CENTROID,CENTROID,-78.377502,42.481201,INTERPOLATION-OTHER,NAD83,B,1,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,2,60  Northern Allegheny Plateau,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS
0104SUC0132,0104SUC0132_C,Machias,9,Cattaraugus,0104-0066,SUCKER POND CENTROID,CENTROID,-78.503601,42.4366,INTERPOLATION-OTHER,NAD83,C,1,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,2,60  Northern Allegheny Plateau,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS
0104TIM5635,0104TIM5635_C,East Otto,9,Cattaraugus,0104-0060,TIMBER LAKE CENTROID,CENTROID,-78.678703,42.352501,INTERPOLATION-OTHER,NAD83,C(T),1,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,2,60  Northern Allegheny Plateau,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS
0105EMU0144,0105EMU0144_C,Villenova,9,Chautauqua,0105-0034,EAST MUD LAKE CENTROID,CENTROID,-79.098801,42.4324,INTERPOLATION-OTHER,NAD83,C,1,61,Erie Drift Plain,8.1.10,Erie Drift Plain,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,5,61  Erie Drift Plain,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS
0105FRE0160,0105FRE0160_C,Pomfret,9,Chautauqua,0105-0021,FREDONIA RESERVOIR CENTROID,CENTROID,-79.311096,42.391998,INTERPOLATION-OTHER,NAD83,A,1,61,Erie Drift Plain,8.1.10,Erie Drift Plain,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,5,61  Erie Drift Plain,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS
0105MIN0165A,0105MIN0165A_C,Westfield,9,Chautauqua,0105-0029,MINTON RESERVOIR CENTROID,CENTROID,-79.575798,42.296299,INTERPOLATION-OTHER,NAD83,A,1,61,Erie Drift Plain,8.1.10,Erie Drift Plain,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,5,61  Erie Drift Plain,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS
0105SIL0157,0105SIL0157_C,Hanover,9,Chautauqua,0105-0014,SILVER CREEK RESERVOIR CENTROID,CENTROID,-79.093399,42.468498,INTERPOLATION-OTHER,NAD83,A,1,61,Erie Drift Plain,8.1.10,Erie Drift Plain,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,5,61  Erie Drift Plain,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS
0201ALL5357,0201ALL5357_C,South Valley,9,Cattaraugus,0201-0023,ALLEGHENY RESERVOIR CENTROID,CENTROID,-78.946871,42.030537,INTERPOLATION-OTHER,NAD83,B,2,62,North Central Appalachians,5.3.3,North Central Appalachians,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,New York,3,62  North Central Appalachians,5.3  ATLANTIC HIGHLANDS,5  NORTHERN FORESTS
