"LAKE_HISTORY_ID","LOCATION_X_COORDINATE","LOCATION_Y_COORDINATE"
"0601UWB0229",-75.3591,42.625198
"0601WEA0409",-74.931297,42.853901
"0601WIL0297",-75.051002,42.516701
"0601YOU0408",-74.921303,42.8442
"0602BAL5648",-75.763,42.551899
"0602DEA0036",-76.003403,42.4477
"0602EAR0146",-75.5578,42.760601
"0602GLO0040",-75.953697,42.492699
"0602LLE1052",-75.573303,42.8727
"0602LLY5637",-76.163902,42.692402
"0602LON0083",-75.845001,42.4193
"0602LUD0099",-75.708801,42.4655
"0602ROU0082",-75.838402,42.399799
"0602SHA5677",-76.008003,42.791801
"0602SPR0050A",-76.026901,42.799702
"0602STE0101",-75.6661,42.525799
"0602ULE1053",-75.577499,42.879501
"0602WHA5659",-75.700996,42.5299
"0602WHI5358",-75.977203,42.3661
"0603CAY0008",-76.735298,42.367001
"0603GREXXX1",-76.09166,42.28687
"0603SPE0013",-76.5,42.247299
"0701CRO0007",-76.379204,43.418598
"0701CRO0185",-76.4692,43.111
"0701GRE5021",-76.335098,43.204102
"0701MUD0008",-76.362297,43.441502
"0701MUD0013",-76.4095,43.181198
"0701NEA0009",-76.437202,43.308102
"0701OTT0198",-76.533096,43.140099
"0701PAR0197",-76.558098,43.161499
"0701UWB5036",-76.314003,43.195499
"0702HIA0156",-76.168701,43.025799
"0702ONO0154",-76.210403,43.0891
"0702OTI0175",-76.279404,42.8591
"0703BLA0111",-75.942299,43.487701
"0703BUL0076",-75.537598,43.395801
"0703CAR0095",-75.902,43.344601
"0703CAZ0153",-75.872002,42.9482
"0703CHA0038A",-75.988197,43.3535
"0703DUT0034A",-75.959396,43.292301
"0703FRA0035",-75.934998,43.2887
"0703GRE0112C",-75.933601,43.479599
"0703GRE0147",-75.966301,43.050499
"0703JAM0144",-76.069099,42.973999
"0703KIB0042",-75.966499,43.269501
"0703NOR0040",-75.996201,43.369099
"0703ONE0026",-75.910004,43.2033
"0703ONE0073",-75.622597,43.368599
"0703PEN0016",-76.2677,43.2854
"0703ROM5276",-75.593697,43.442799
"0703ROU0148",-75.975304,43.047798
"0703SUN0120",-75.606598,43.057301
"0703TEM0017",-76.259499,43.284
"0703UWB0081",-75.565903,43.6586
"0703UWB0122",-75.647697,43.059101
"0703UWB5181",-75.894501,43.337799
"0703VAN0044",-75.907501,43.258202
"0704CAN0286",-77.305099,42.778
"0704FAI0263A",-77.437798,42.937401
"0704JUN0238",-76.944199,42.961601
"0704JUN0240",-76.949699,42.956402
"0704NEW0273",-77.0933,42.9347
"0704UWB5422",-76.798897,43.005699
"0705BEE0308",-76.476303,42.451199
"0705CAY0296",-76.702103,42.688301
"0705COM0333",-76.302498,42.6772
"0705DRY0318",-76.272598,42.462002
"0705ITH0340B",-76.4599,42.414001
"0705JEN0349",-76.487602,42.344799
"0705KEU0388",-77.139504,42.493401
"0705SEN0369",-76.896473,42.669266
"0705TRE0347A",-76.511299,42.398601
"0705VAN0366A",-76.791298,42.913101
"0706OWA0212",-76.528198,42.873798
"0707SKA0193",-76.350304,42.8451
"0801BEL0423",-75.329803,43.926998
"0801BUG0789",-74.729698,43.768799
"0801CHI0776",-74.829201,43.8302
"0801COP0710",-75.142998,43.6637
"0801CRY0595",-75.275703,43.838501
"0801DAR0750",-74.862701,43.796001
"0801EIG0790",-74.7024,43.778999
"0801ELM0425",-75.283897,43.923901
"0801FIS0614",-75.259499,43.7784
"0801FOR0944",-75.204803,43.433701
"0801FOU0782D",-74.8181,43.758999
"0801FRA0451",-75.171402,43.8526
"0801GUL0969",-75.058899,43.5518
"0801HIG0418",-75.369102,43.928001
"0801IND0647",-74.978203,43.772701
"0801KAY0984A",-75.173897,43.3997
"0801LIL0541",-74.763,44.002998
"0801LIM0826",-74.799499,43.712601
"0801LON0610",-75.268204,43.779201
"0801LON0922",-75.155899,43.5527
"0801LSA0735",-74.967697,43.755798
"0801MEI0420",-75.247398,43.9566
"0801MOS0478",-75.094902,43.892101
"0801NIC0804",-74.992599,43.673599
"0801OTT0926",-75.114601,43.592098
"0801PAY0620",-75.290298,43.795299
"0801PLE0395",-75.693298,43.939602
"0801ROU0907",-75.142502,43.597401
"0801ROU5512",-74.972298,43.738201
"0801SAN0436",-75.160004,43.9492
"0801SIX0787",-74.773201,43.747601
"0801STI0493",-74.9543,43.912701
"0801UWB0692",-75.2827,43.694
"0801UWB5460",-75.350304,43.5513
"0801UWB5593",-74.866096,43.569599
"0801UWB5614",-75.233902,43.473701
"0801WHE5670",-75.508598,43.6721
"0801WOO0982",-74.984703,43.591999
"0902ARQ0103A",-74.603798,44.5107
"0902BAR0262",-74.259499,44.459999
"0902DEE0073",-74.300796,44.650902
"0902LSA0257A",-74.255898,44.429401
"0902MOU0198",-74.274803,44.475102
"0902SLU0245",-74.315804,44.469799
"0902SPI0264",-74.272797,44.416401
"0902TWI0002B",-73.966103,44.670399
"0902WHI0158",-74.301399,44.3769
"0902WOL0065",-74.059998,44.6464
"0903BLA0029A",-74.756103,44.4814
"0903BLU0307",-74.457298,43.8587
"0903BRI0178",-74.583198,44.1632
"0903EAG0306",-74.475601,43.8493
"0903EAT0248",-74.4664,43.978901
"0903FOL0186",-74.377998,44.156502
"0903HIT0144",-74.647697,44.117401
"0903HOR0143",-74.621002,44.131802
"0903LBR0316",-74.698898,43.809502
"0903LEO0062",-74.7397,44.3311
"0903LSI0182",-74.444397,44.154201
"0903LTR0145",-74.651497,44.095699
"0903LTU0120",-74.606499,44.0406
"0903LWO0095",-74.479202,44.253399
"0903RAI0022A",-74.789703,44.509602
"0903ROC0050",-74.553299,44.363899
"0903SHA0324",-74.740799,43.818298
"0903SIM0180",-74.461098,44.199299
"0903SOU0017A",-74.865898,44.527599
"0903STA0035B",-74.746902,44.440498
"0903UPR0239",-74.0886,44.126099
"0903UTO0304",-74.520104,43.833801
"0903WOO0091",-74.426598,44.260899
"0904BAL0364",-74.7547,44.252602
"0904HUC0291",-75.336403,44.324501
"0904SIL0351",-74.826599,44.226898
"0905CRY0289",-75.068497,44.101799
"0905FRE0228",-75.2276,43.977798
"0905LOW0061",-75.308403,44.583
"0905MOO0071",-75.732399,44.254299
"0905MUD0227",-75.219398,43.974899
"0905ROC0231",-75.196701,43.995899
"0905SUC0274",-75.119698,44.1796
"0905SYL0088",-75.413597,44.2533
"0905YEL0069",-75.598602,44.324299
"0906CLE0059",-75.8265,44.278
"0906HIC0004",-75.516403,44.4641
"0906MUD0003",-75.461601,44.5033
"0906MUD0005",-75.5998,44.3699
"0906MUD0023",-75.414299,44.160999
"0906MUS0008",-75.689003,44.300499
"0906PLE0006",-75.603996,44.388302
"0906RED0010",-75.736298,44.268501
"1002ALI5018",-73.484703,44.867199
"1002CHA0020",-73.819801,44.738998
"1002ROX5044",-73.805702,44.894901
"1003CLE0199",-74.252296,44.369202
"1003COL0106",-74.153198,44.342899
"1003FLO0086",-74.128304,44.305901
"1003FLO0142",-74.390503,44.331299
"1003FRA5095",-74.000702,44.4132
"1003KUS0055",-74.114502,44.517601
"1003LON0149",-74.401497,44.3489
"1003LOO0048",-74.080704,44.563301
"1003LSA0104",-74.1744,44.303398
"1003MEA5064",-73.583801,44.726601
"1003MOO0083",-74.062698,44.3718
"1003MSA0110",-74.265701,44.260101
"1003OSE0090",-74.133003,44.281799
"1003ROL0168",-74.413803,44.3106
"1003UNI0074",-73.939796,44.489601
"1003UWB0026",-73.590698,44.713001
"1004DAV0210C",-73.614601,44.617199
"1004FER0222",-73.718399,44.4888
"1004LCA0270",-73.863197,44.236
"1004MIL0318",-73.548202,44.113998
"1004NIC0314",-73.512703,44.158798
"1004RUS0316",-73.557198,44.1161
"1004UCA0271",-73.878304,44.2234
"1005BAR0338",-73.510803,44.106499
"1005BUT0452",-73.735702,43.3713
"1005BUT5350",-73.727402,43.349701
"1005PEN0351A",-73.539703,43.905399
"1005SHE0351",-73.535797,43.989201
"1005SUN0440",-73.639702,43.375301
"1005UWB0454",-73.663101,43.329399
"1005WIL0455A",-73.758301,43.355999
"1006CRA0380",-73.677902,43.551998
"1006JAB0394",-73.538696,43.702801
"1101DOR0098",-73.626999,43.263401
"1101KEE0114",-73.757797,43.328701
"1101LON0030",-73.741096,43.0537
"1101MOR0101",-73.711899,43.2313
"1101ROU1089",-73.782898,42.933998
"1101SAR0027",-73.741501,43.016701
"1101TRO0459",-73.634102,42.764599
"1101WOO0120A",-73.8349,43.215198
"1102JOH5030",-73.4981,42.925701
"1102LAU1121",-73.3741,43.089802
"1102SCH1115",-73.583504,42.893299
"1102TOM1095",-73.568199,42.857399
"1104ABA0582A",-74.237602,43.7826
"1104ALG0276A",-74.293297,43.396
"1104ARB0684",-74.241302,43.9869
"1104BEA0348",-73.717499,43.748699
"1104BRA0347",-73.702599,43.716099
"1104CAT0685",-74.270203,44.0191
"1104CED0667",-74.477898,43.7071
"1104CEN0593",-74.214897,43.7425
"1104CLE0458",-73.8237,43.999
"1104COOXXX1",-74.054,43.1388
"1104COU0690",-74.273903,43.978901
"1104DEE0629",-74.266296,43.882801
"1104DUC0387",-73.969803,43.8666
"1104DUR0641A",-74.408302,43.843102
"1104EAG0438",-73.583099,43.880798
"1104ELK0460",-73.8246,44.0308
"1104FIF0626C",-74.232597,43.889301
"1104FOU0325",-73.824402,43.3577
"1104FOU0626B",-74.237999,43.883999
"1104GAR0520",-74.022301,43.518299
"1104GOO0265",-74.542,43.248501
"1104GRE0127",-73.960503,43.291302
"1104HAR0189",-74.079598,43.407799
"1104HAR0680",-74.141899,43.9744
"1104HEN0715",-74.066704,44.092098
"1104HOR0403",-73.8097,43.831001
"1104IND0597",-74.329903,43.685699
"1104JOH0434",-73.691498,43.933399
"1104KIN0588A",-74.232902,43.676102
"1104LEW0597A",-74.398697,43.639099
"1104LIV0212",-74.039902,43.373402
"1104LOO0367",-73.860298,43.680199
"1104LUZ0318",-73.832604,43.3228
"1104MIN0381B",-73.973999,43.793301
"1104MOU0369",-73.8423,43.714001
"1104MUL0394",-73.887901,43.832199
"1104NAN0143",-74.0075,43.1194
"1104OXB0252",-74.481399,43.442402
"1104PAR0432",-73.711098,43.882999
"1104PIN0655",-74.249298,43.848099
"1104PIS0234",-74.546204,43.4118
"1104PLE0313",-74.3638,43.487202
"1104PYR0437",-73.653503,43.8666
"1104RIC0152D",-74.338303,43.094002
"1104ROC0424",-73.596703,43.849499
"1104ROC0637",-74.333,43.8288
"1104ROC0645",-74.4385,43.845299
"1104SAC0314",-74.4217,43.480598
"1104SAN0225",-74.574097,43.354999
"1104SAN0710",-74.060097,44.062302
"1104STE0126A",-73.903801,43.3064
"1104STE0135",-74.054901,43.157299
"1104THI0540",-74.127098,43.703899
"1104THI0626A",-74.251602,43.876099
"1104TRI0358",-73.795402,43.5966
"1104WAK0666",-74.467697,43.739601
"1104WAR0375",-73.832802,43.714802
"1104WHI0603",-74.373901,43.567699
"1201BOW0589C",-74.624901,42.7822
"1201BRO0720",-74.542396,43.208301
"1201COL0519",-73.953796,42.825802
"1201COR0664",-74.4646,43.041401
"1201ECA0703A",-74.746399,43.0331
"1201FEA0571",-74.116302,42.813999
"1201IRV0732",-74.470703,43.166
"1201KLO0708",-74.787102,43.232899
"1201MIRXXX1",-74.992654,43.039458
"1201PIN0724",-74.512703,43.1973
"1201ROC0685A",-74.503197,43.0653
"1201SHAXXXX",-74.62492,42.78218
"1201SPE0760",-74.578903,43.238201
"1201SPR0706A",-74.839699,43.172501
"1201STO0503A",-73.8181,42.8111
